[ 2017-08-20T21:58:16+08:00 ] /User_Index_tkjsfl.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T21:58:16+08:00 ] /User_Index_tkjsfl.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T21:58:16+08:00 ] /User_Index_tkjsfl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-20T21:58:16+08:00 ] /User_Index_tkjsfl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-08-20T21:58:16+08:00 ] /User_Index_tkjsfl.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:16+08:00 ] /User_Index_tkjsfl.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T21:58:17+08:00 ] /User_Index_tkjsfl.html | SQL: SHOW COLUMNS FROM `pay_tkfl` [ RunTime:0.026001s ]
[ 2017-08-20T21:58:17+08:00 ] /User_Index_tkjsfl.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:17+08:00 ] /User_Index_tkjsfl.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:17+08:00 ] /User_Index_tkjsfl.html | SQL: SELECT `fl_money` FROM `pay_tkfl` WHERE k_money <= 222 and s_money >= 222 and T =1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | INFO: Tag[ route_check ] --START--
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-08-20T21:58:17+08:00 ] /User_Index_yzzfmm.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T21:58:18+08:00 ] /User_Index_yzzfmm.html | SQL: SHOW COLUMNS FROM `pay_usersafetyinformation` [ RunTime:0.028001s ]
[ 2017-08-20T21:58:18+08:00 ] /User_Index_yzzfmm.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:18+08:00 ] /User_Index_yzzfmm.html | SQL: SELECT `PayPassWord` FROM `pay_usersafetyinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T21:58:18+08:00 ] /User_Index_yzzfmm.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | INFO: Tag[ route_check ] --START--
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003001s ]
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | INFO: Tag[ app_begin ] --START--
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:19+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_money` [ RunTime:0.026001s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `Money` FROM `pay_money` WHERE UserID=368 LIMIT 1   [ RunTime:0.002000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_usersafetyinformation` [ RunTime:0.019001s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `PayPassWord` FROM `pay_usersafetyinformation` WHERE UserID=368 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_tkfl` [ RunTime:0.013000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `fl_money` FROM `pay_tkfl` WHERE k_money <= 222 and s_money >= 222 and T = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.012001s ]
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-08-20T21:58:20+08:00 ] /User_Index_tkmoney.html | SQL: SELECT `BankName` FROM `pay_bank` WHERE id= and UserID=368 LIMIT 1   [ RunTime:0.001000s ]
