[ 2017-02-13T18:53:49+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-13T18:53:52+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:53:52+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-13T18:53:52+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:53:52+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:53:52+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:53:52+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T18:53:54+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-02-13T18:53:54+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-13T18:53:57+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:53:57+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-13T18:53:57+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T18:53:57+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:53:57+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:53:57+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:53:59+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002929s ]
[ 2017-02-13T18:53:59+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-13T18:54:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:54:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:54:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-13T18:54:02+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T18:54:04+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.001953s ]
[ 2017-02-13T18:54:04+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.001954s ]
[ 2017-02-13T18:54:07+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:07+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:07+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:54:07+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:54:07+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:07+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:54:09+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-02-13T18:54:09+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.001953s ]
[ 2017-02-13T18:54:12+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:12+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:12+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:54:12+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:54:12+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000976s ]
[ 2017-02-13T18:54:12+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:54:14+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-02-13T18:54:14+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-13T18:54:17+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:17+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:17+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:54:17+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:54:17+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:17+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:54:19+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002929s ]
[ 2017-02-13T18:54:19+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-13T18:54:22+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:22+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-13T18:54:22+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:54:22+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:54:22+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T18:54:22+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T18:54:24+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-02-13T18:54:24+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-13T18:54:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-13T18:54:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T18:54:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T18:54:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-13T18:54:27+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T18:54:29+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002929s ]
[ 2017-02-13T18:54:29+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '1486981154' LIMIT 1   [ RunTime:0.001954s ]
[ 2017-02-13T18:54:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-02-13T18:54:32+08:00 ] /Payapi_QQbao_BaoKoYiBuUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
