[ 2017-02-03T13:27:22+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ route_check ] --START--
[ 2017-02-03T13:27:22+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-03T13:27:22+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-03T13:27:22+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ app_begin ] --START--
[ 2017-02-03T13:27:22+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:22+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.002930s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='public/css/bootstrap.min.css.map' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_template ] --START--
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_parse ] --START--
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ParseTemplate Behavior [ RunTime:0.004883s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004883s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_filter ] --START--
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000976s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000976s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_end ] --START--
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ShowPageTrace Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_end ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /User | INFO: Tag[ route_check ] --START--
[ 2017-02-03T13:27:23+08:00 ] /User | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /User | INFO: Tag[ app_begin ] --START--
[ 2017-02-03T13:27:23+08:00 ] /User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:23+08:00 ] /User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_money` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT `Money` FROM `pay_money` WHERE UserID=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userbasicinformation` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT `Compellation` FROM `pay_userbasicinformation` WHERE UserId=297 LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.001954s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT `Zt` FROM `pay_userapiinformation` WHERE UserId=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tongzhi` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT * FROM `pay_tongzhi` WHERE UserID=297 ORDER BY id desc  [ RunTime:0.000976s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.001954s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_bank` WHERE UserID=297 and banktype = 0  LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT `BankName` FROM `pay_bank` WHERE UserID=297 and moren = 1 LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT * FROM `pay_order` WHERE (UserID=297 or (Username = '297' and typepay = 5) ) and Zt = 1 ORDER BY TradeDate desc LIMIT 0,10   [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_order` WHERE UserID = '297' and DATEDIFF('2017-02-03',TradeDate) = 0 and zt=1 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT SUM(trademoney) AS tp_sum FROM `pay_order` WHERE UserID = '297' and DATEDIFF('2017-02-03',TradeDate) = 0 and zt=1 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000976s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_tklist` WHERE wt = 0 and UserID=297 and ZT = 0 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT SUM(money) AS tp_sum FROM `pay_tklist` WHERE wt = 0 and UserID=297 and ZT = 2 LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_wttklist` [ RunTime:0.000976s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_wttklist` WHERE UserID=297 and ZT = 0 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_wttklist` WHERE UserID=297 and ZT = 2 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_template ] --START--
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_parse ] --START--
[ 2017-02-03T13:27:24+08:00 ] /User | NOTIC: [8] Undefined variable: daymoney 2fee74e62df6d32fbe37f14c1eef763e.php 第 245 行.
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run ParseTemplate Behavior [ RunTime:0.019532s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019532s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_filter ] --START--
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run TokenBuild Behavior [ RunTime:0.000976s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run ShowRuntime Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_end ] --START--
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:24+08:00 ] /User | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-03T13:27:25+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ route_check ] --START--
[ 2017-02-03T13:27:25+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-02-03T13:27:25+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-03T13:27:25+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ app_begin ] --START--
[ 2017-02-03T13:27:25+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:25+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.002930s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='public/css/bootstrap.min.css.map' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_template ] --START--
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_parse ] --START--
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ParseTemplate Behavior [ RunTime:0.003906s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003906s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_filter ] --START--
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run TokenBuild Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_end ] --START--
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ShowPageTrace Behavior [ RunTime:0.000976s ]
[ 2017-02-03T13:27:26+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_end ] --END-- [ RunTime:0.000976s ]
[ 2017-02-03T13:27:39+08:00 ] /User | INFO: Tag[ route_check ] --START--
[ 2017-02-03T13:27:39+08:00 ] /User | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:39+08:00 ] /User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-02-03T13:27:39+08:00 ] /User | INFO: Tag[ app_begin ] --START--
[ 2017-02-03T13:27:39+08:00 ] /User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:39+08:00 ] /User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_money` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT `Money` FROM `pay_money` WHERE UserID=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userbasicinformation` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT `Compellation` FROM `pay_userbasicinformation` WHERE UserId=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT `Zt` FROM `pay_userapiinformation` WHERE UserId=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tongzhi` [ RunTime:0.000976s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT * FROM `pay_tongzhi` WHERE UserID=297 ORDER BY id desc  [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.000976s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_bank` WHERE UserID=297 and banktype = 0  LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT `BankName` FROM `pay_bank` WHERE UserID=297 and moren = 1 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT * FROM `pay_order` WHERE (UserID=297 or (Username = '297' and typepay = 5) ) and Zt = 1 ORDER BY TradeDate desc LIMIT 0,10   [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_order` WHERE UserID = '297' and DATEDIFF('2017-02-03',TradeDate) = 0 and zt=1 LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT SUM(trademoney) AS tp_sum FROM `pay_order` WHERE UserID = '297' and DATEDIFF('2017-02-03',TradeDate) = 0 and zt=1 LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tklist` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_tklist` WHERE wt = 0 and UserID=297 and ZT = 0 LIMIT 1   [ RunTime:0.000977s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT SUM(money) AS tp_sum FROM `pay_tklist` WHERE wt = 0 and UserID=297 and ZT = 2 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_wttklist` [ RunTime:0.001953s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_wttklist` WHERE UserID=297 and ZT = 0 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | SQL: SELECT SUM(tk_money) AS tp_sum FROM `pay_wttklist` WHERE UserID=297 and ZT = 2 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_template ] --START--
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_parse ] --START--
[ 2017-02-03T13:27:40+08:00 ] /User | NOTIC: [8] Undefined variable: daymoney 2fee74e62df6d32fbe37f14c1eef763e.php 第 245 行.
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run ParseTemplate Behavior [ RunTime:0.008789s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008789s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_filter ] --START--
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run ContentReplace Behavior [ RunTime:0.000977s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001954s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_end ] --START--
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /User | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ route_check ] --START--
[ 2017-02-03T13:27:40+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ app_begin ] --START--
[ 2017-02-03T13:27:40+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:40+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.002930s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='public/css/bootstrap.min.css.map' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_template ] --START--
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run LocationTemplate Behavior [ RunTime:0.000976s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_template ] --END-- [ RunTime:0.000976s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_parse ] --START--
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ParseTemplate Behavior [ RunTime:0.004883s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004883s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Tag[ view_filter ] --START--
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-03T13:27:41+08:00 ] /public/css/bootstrap.min.css.map | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
